config_id,P_ij,B_ij,Dbar_plus_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,n_status_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
112106,0.675,1.8877551020408163,2.022222222222222,0.4460833333333334,0.006047896825396819,200,98,135,1122,297,4,7.1,510042,7802290,6,lead_stubborn,0.4911132375299709,0.252577974178488
111955,0.44,1.6545454545454545,2.0113636363636362,0.22141437728937727,0.004763840048840049,200,55,88,1120,569,6,125.0,132204,7633868,55,lead_stubborn,0.3277016708096898,0.5663965080474668
111760,0.375,1.8421052631578947,2.013333333333333,0.1927920274170274,0.004402126623376623,200,57,75,1118,569,6,61.0,132204,7633868,60,lead_stubborn,0.2892063661005389,0.2123889347471068
111188,0.59,1.8705882352941177,2.0,0.35687698412698426,0.006870714285714285,200,85,118,1112,569,6,7.1,132204,7633868,88,lead_stubborn,0.4229568538429628,0.8766829270547112
112214,0.595,1.7160493827160495,2.0,0.369754329004329,0.0059533928571428515,200,81,119,1123,297,4,10.2,510042,7802290,14,lead_stubborn,0.4312459512484686,0.5424263205795637
112601,0.525,1.8793103448275863,2.019047619047619,0.2717123015873016,0.004944464285714285,200,58,105,1127,297,4,42.7,510042,7802290,1,lead_stubborn,0.3857676334163057,0.2047082508361712
112469,0.25,1.7333333333333334,2.0,0.09641107503607504,0.0041419283698327794,200,30,50,1125,297,4,20.9,510042,7802290,69,lead_stubborn,0.2070972729458678,0.2979198700199214
112839,0.655,1.8476190476190477,2.0076335877862594,0.47298489010989014,0.005720192307692306,200,105,131,1129,297,4,87.4,510042,7802290,39,lead_stubborn,0.4790241755215713,0.6177321915239017
113040,0.28,1.85,2.0,0.14540728715728718,0.00514239538239538,200,40,56,1131,236,3,5.0,233308,2755253,40,lead_stubborn,0.2501126952506121,0.6454895199876196
113502,0.415,1.6166666666666667,2.0120481927710845,0.2160515873015873,0.004749900793650792,200,60,83,1136,236,3,29.9,233308,2755253,2,lead_stubborn,0.2959114945914544,0.9228509849216918
113637,0.655,1.5913978494623655,2.0,0.4009166666666667,0.005704325396825396,200,93,131,1137,236,3,42.7,233308,2755253,37,lead_stubborn,0.469568977189866,0.9743873423433428
113702,0.36,1.803921568627451,2.0,0.1716111111111111,0.004308421370296367,200,51,72,1138,236,3,61.0,233308,2755253,2,lead_stubborn,0.2959114945914544,0.9228509849216918
113984,0.555,1.7611940298507462,2.0,0.31265476190476205,0.005401352813852813,200,67,111,1140,236,3,125.0,233308,2755253,84,lead_stubborn,0.4277086989642705,0.7484720574557526
114268,0.52,1.875,2.0,0.28967063492063494,0.004976726190476188,200,64,104,1143,693,6,10.2,313310,3455741,68,lead_stubborn,0.3706046305857265,0.4761663270697934
114488,0.61,1.6,2.0,0.38126562326562335,0.005178411449661449,200,85,122,1145,693,6,20.9,313310,3455741,88,lead_stubborn,0.4229568538429628,0.8766829270547112
114147,0.55,1.986842105263158,2.0,0.31844810744810753,0.0055440842490842475,200,76,110,1142,693,6,7.1,313310,3455741,47,lead_stubborn,0.4071129309119736,0.103198652756049
114762,0.455,1.8518518518518519,2.0,0.24570057720057714,0.00467452380952381,200,54,91,1148,693,6,61.0,313310,3455741,62,lead_stubborn,0.3350709844137344,0.6247506884808997
115317,0.68,1.7,2.0,0.31945256132756134,0.005767670454545454,200,70,136,1154,669,2,14.6,923356,530268,17,lead_stubborn,0.4372556438030128,0.9067257327686692
115179,0.565,1.5076923076923077,2.017699115044248,0.2963650793650794,0.00622339285714285,200,65,113,1152,669,2,7.1,923356,530268,79,lead_stubborn,0.3642632456563252,0.6890479996878222
115577,0.445,1.510204081632653,2.0,0.16890743736939384,0.004008640750934802,200,49,89,1156,669,2,29.9,923356,530268,77,lead_stubborn,0.2375482709814891,0.0892183280233827
11532,0.6,1.7160493827160495,2.0,0.3563333333333334,0.005318515512265511,200,81,120,116,642,5,29.9,1074544,2702765,32,lead_stubborn,0.4495856593533723,0.6338235473212548
116185,0.67,1.9540229885057472,2.0223880597014925,0.3503333333333334,0.00795446428571428,200,87,134,1162,448,3,7.1,111694,7118183,85,lead_stubborn,0.4024582743628092,0.7244830604083918
117002,0.41,1.9827586206896552,2.0,0.22015674603174604,0.004819487734487732,200,58,82,1171,267,3,5.0,727643,6078227,2,lead_stubborn,0.2959114945914544,0.9228509849216918
116891,0.595,1.7654320987654322,2.0,0.35764880952380956,0.005534507575757575,200,81,119,1169,448,3,87.4,111694,7118183,91,lead_stubborn,0.3969614753991711,0.3291381696463736
116955,0.36,1.6071428571428572,2.0,0.20086901913875593,0.005365170454545452,200,56,72,1170,448,3,125.0,111694,7118183,55,lead_stubborn,0.3277016708096898,0.5663965080474668
117360,0.36,1.6304347826086956,2.013888888888889,0.16950216450216446,0.004697362914862915,200,46,72,1174,267,3,14.6,727643,6078227,60,lead_stubborn,0.2892063661005389,0.2123889347471068
117496,0.625,1.6666666666666667,2.0,0.36373214285714284,0.00577109126984127,200,78,125,1175,267,3,20.9,727643,6078227,96,lead_stubborn,0.4626922801013836,0.4528896718855326
117238,0.485,1.6415094339622642,2.0,0.2318809523809524,0.005055438311688312,200,53,97,1173,267,3,10.2,727643,6078227,38,lead_stubborn,0.3509947337216052,0.8424701912520188
117550,0.475,1.74,2.0105263157894737,0.23257738095238095,0.004919077494143285,200,50,95,1176,267,3,29.9,727643,6078227,50,lead_stubborn,0.3349244931377773,0.5073741801149648
117663,0.62,1.8072289156626506,2.0080645161290325,0.355754329004329,0.005461271645021638,200,83,124,1177,267,3,42.7,727643,6078227,63,lead_stubborn,0.4714045721788255,0.7667985672256883
117814,0.605,1.644736842105263,2.0,0.35883333333333334,0.0055303571428571415,200,76,121,1179,267,3,87.4,727643,6078227,14,lead_stubborn,0.4312459512484686,0.5424263205795637
118772,0.46,2.036363636363636,2.0,0.2234491064491064,0.00446784652847153,200,55,92,1188,928,4,61.0,604298,3884319,72,lead_stubborn,0.3156406422303758,0.3774553900605352
119047,0.605,1.9204545454545454,2.0,0.4014702380952381,0.005555892857142855,200,88,121,1191,766,7,5.0,798663,7949417,47,lead_stubborn,0.4071129309119736,0.103198652756049
119232,0.61,1.881578947368421,2.0,0.3455373931623932,0.005542023809523808,200,76,122,1193,766,7,10.2,798663,7949417,32,lead_stubborn,0.4495856593533723,0.6338235473212548
119178,0.495,1.8208955223880596,2.0,0.29997619047619045,0.00528569805194805,200,67,99,1192,766,7,7.1,798663,7949417,78,lead_stubborn,0.3815618301396259,0.7050527606912402
119380,0.33,1.7291666666666667,2.015151515151515,0.18936165223665224,0.004701098484848484,200,48,66,1194,766,7,14.6,798663,7949417,80,lead_stubborn,0.2816906079992455,0.4111680330999803
119479,0.435,1.7796610169491525,2.0114942528735633,0.27485714285714286,0.005444873598623595,200,59,87,1195,766,7,20.9,798663,7949417,79,lead_stubborn,0.3642632456563252,0.6890479996878222
120030,0.315,1.380952380952381,2.0317460317460316,0.12309740259740261,0.005324523809523808,200,42,63,1201,86,2,5.0,300907,2913285,30,lead_stubborn,0.2039812783100412,0.857228363045134
120256,0.755,1.5824175824175823,2.013245033112583,0.40056746031746043,0.00677769841269841,200,91,151,1203,86,2,10.2,300907,2913285,56,lead_stubborn,0.4768512858671266,0.1447302436856452
120332,0.685,1.7011494252873562,2.0072992700729926,0.39325595238095223,0.006341984126984125,200,87,137,1204,86,2,14.6,300907,2913285,32,lead_stubborn,0.4495856593533723,0.6338235473212548
119513,0.255,1.7857142857142858,2.0,0.14107738095238095,0.004670446983571984,200,42,51,1196,766,7,29.9,798663,7949417,13,lead_stubborn,0.2238256630629619,0.7912632295125752
120467,0.63,1.4556962025316456,2.0238095238095237,0.31872023809523803,0.005140402236652235,200,79,126,1205,86,2,20.9,300907,2913285,67,lead_stubborn,0.3604525200861999,0.8954386061007626
119696,0.64,1.989247311827957,2.0,0.42457237207237214,0.00526569014319014,200,93,128,1197,766,7,42.7,798663,7949417,96,lead_stubborn,0.4626922801013836,0.4528896718855326
120789,0.44,1.4285714285714286,2.0,0.15471650571650572,0.0040304307212395436,200,49,88,1208,86,2,61.0,300907,2913285,89,lead_stubborn,0.2129379249701362,0.6944582199785999
120815,0.59,1.6527777777777777,2.0084745762711864,0.2603705259609671,0.004509818060562625,200,72,118,1209,86,2,87.4,300907,2913285,15,lead_stubborn,0.28091147618982,0.9551352008768642
120604,0.46,1.5238095238095237,2.010869565217391,0.21717038517038517,0.004889247696747696,200,63,92,1207,86,2,42.7,300907,2913285,4,lead_stubborn,0.2627648343443758,0.7190241322679278
120936,0.53,1.3846153846153846,2.0,0.25504819690113806,0.005058795461074873,200,52,106,1210,86,2,125.0,300907,2913285,36,lead_stubborn,0.3461077870164497,0.600169191961039
121977,0.31,1.6136363636363635,2.0,0.1271837003576134,0.004195359037098165,200,44,62,1220,338,3,125.0,742603,5594567,77,lead_stubborn,0.2375482709814891,0.0892183280233827
119858,0.515,1.849056603773585,2.0194174757281553,0.26118439893439893,0.004673307387057386,200,53,103,1199,766,7,87.4,798663,7949417,58,lead_stubborn,0.3409275648695138,0.932574439505853
122256,0.645,1.8255813953488371,2.007751937984496,0.3789583333333333,0.005796686507936504,200,86,129,1223,956,3,10.2,1118010,1467651,56,lead_stubborn,0.4768512858671266,0.1447302436856452
122351,0.34,1.6595744680851063,2.0,0.16772294372294372,0.004381097048376463,200,47,68,1224,956,3,14.6,1118010,1467651,51,lead_stubborn,0.2182850515748211,0.1730815279492411
122584,0.575,1.5789473684210527,2.008695652173913,0.3433656204906205,0.005287007575757575,200,76,115,1226,956,3,29.9,1118010,1467651,84,lead_stubborn,0.4277086989642705,0.7484720574557526
122669,0.28,1.5227272727272727,2.0,0.1382032861789054,0.004073114560591341,200,44,56,1227,956,3,42.7,1118010,1467651,69,lead_stubborn,0.2070972729458678,0.2979198700199214
123673,0.31,1.6904761904761905,2.0,0.1550515873015873,0.004401348781937017,200,42,62,1237,759,4,42.7,288973,5169495,73,lead_stubborn,0.2631399047202775,0.494072025933513
122749,0.41,1.7166666666666666,2.0,0.2144024725274725,0.004534897047397048,200,60,82,1228,956,3,61.0,1118010,1467651,49,lead_stubborn,0.3008118292997498,0.7565167136190543
124238,0.54,1.9253731343283582,2.009259259259259,0.28755860805860806,0.004684461233211236,200,67,108,1243,544,6,10.2,732235,1872344,38,lead_stubborn,0.3509947337216052,0.8424701912520188
124095,0.55,1.8356164383561644,2.0090909090909093,0.3197366522366522,0.004977539682539682,200,73,110,1241,544,6,5.0,732235,1872344,95,lead_stubborn,0.3751229337419657,0.1974510188067169
124521,0.27,1.8888888888888888,2.0,0.11407982295482295,0.003929626435655848,200,36,54,1246,544,6,29.9,732235,1872344,21,lead_stubborn,0.2397567210258474,0.5887702959721403
124868,0.595,1.8311688311688312,2.0,0.3497747432306256,0.004875242763772172,200,77,119,1249,544,6,87.4,732235,1872344,68,lead_stubborn,0.3706046305857265,0.4761663270697934
124669,0.31,1.7317073170731707,2.0,0.13621732916206597,0.003498342408236758,200,41,62,1247,544,6,42.7,732235,1872344,69,lead_stubborn,0.2070972729458678,0.2979198700199214
12451,0.26,1.6451612903225807,2.0,0.10910416666666664,0.0037975056193806206,200,31,52,125,621,7,20.9,424702,2860996,51,lead_stubborn,0.2182850515748211,0.1730815279492411
125515,0.355,1.8636363636363635,2.0,0.15749657287157284,0.004293519119769118,200,44,71,1256,716,4,29.9,1135398,5288526,15,lead_stubborn,0.28091147618982,0.9551352008768642
125861,0.415,1.7674418604651163,2.0,0.17602265300059414,0.0044847907647907635,200,43,83,1259,716,4,87.4,1135398,5288526,61,lead_stubborn,0.3070497535774244,0.9179940122389904
125299,0.5,1.894736842105263,2.01,0.2851920995670996,0.004549085914085916,200,76,100,1253,716,4,10.2,1135398,5288526,99,lead_stubborn,0.3227365905845993,0.0746241892293311
125617,0.645,1.6470588235294117,2.0,0.3905281385281386,0.005179285714285714,200,85,129,1257,716,4,42.7,1135398,5288526,17,lead_stubborn,0.4372556438030128,0.9067257327686692
125963,0.62,1.7349397590361446,2.0080645161290325,0.3985954184704184,0.005643199855699855,200,83,124,1260,716,4,125.0,1135398,5288526,63,lead_stubborn,0.4714045721788255,0.7667985672256883
12612,0.62,1.7777777777777777,2.0080645161290325,0.3477160755910756,0.0048418475968475955,200,81,124,127,621,7,42.7,424702,2860996,12,lead_stubborn,0.3985108847427614,0.9637929216712549
126363,0.665,1.7934782608695652,2.0,0.40830357142857154,0.005726547619047617,200,92,133,1264,671,6,14.6,267508,2498978,63,lead_stubborn,0.4714045721788255,0.7667985672256883
126071,0.47,1.8767123287671232,2.0106382978723403,0.28545503464543714,0.00509924339033859,200,73,94,1261,671,6,5.0,267508,2498978,71,lead_stubborn,0.3239323376009491,0.868936778850477
