system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
262,469,5,7.1,133171,7254917,1,0.335,,,1.7014925373134329,0.57
265,469,5,20.9,133171,7254917,1,0.35,,,1.7142857142857142,0.6
267,469,5,42.7,133171,7254917,1,0.465,,,1.946236559139785,0.905
268,469,5,61.0,133171,7254917,1,0.315,,,1.9365079365079365,0.61
269,469,5,87.4,133171,7254917,1,0.335,,,1.9104477611940298,0.64
270,469,5,125.0,133171,7254917,1,0.195,,,1.641025641025641,0.32
282,939,2,7.1,525515,3746875,1,0.47,,,2.9148936170212765,1.37
287,939,2,42.7,525515,3746875,1,0.485,,,1.4742268041237114,0.715
289,939,2,87.4,525515,3746875,1,0.485,,,1.711340206185567,0.83
290,939,2,125.0,525515,3746875,1,0.385,,,1.5584415584415585,0.6
292,931,7,7.1,763920,5881002,1,0.155,,,1.7096774193548387,0.265
298,931,7,61.0,763920,5881002,1,0.355,,,2.1267605633802815,0.755
299,931,7,87.4,763920,5881002,1,0.18,,,1.7222222222222223,0.31
303,336,6,10.2,647922,7842665,1,0.35,,,2.057142857142857,0.72
304,336,6,14.6,647922,7842665,1,0.46,,,1.9891304347826086,0.915
305,336,6,20.9,647922,7842665,1,0.165,,,1.696969696969697,0.28
306,336,6,29.9,647922,7842665,1,0.235,,,1.851063829787234,0.435
308,336,6,61.0,647922,7842665,1,0.355,,,1.704225352112676,0.605
313,704,3,10.2,1000261,7536640,1,0.19,,,1.894736842105263,0.36
317,704,3,42.7,1000261,7536640,1,0.215,,,1.4883720930232558,0.32
319,704,3,87.4,1000261,7536640,1,0.27,,,1.6111111111111112,0.435
320,704,3,125.0,1000261,7536640,1,0.39,,,1.858974358974359,0.725
329,726,7,87.4,451913,4586158,1,0.455,,,1.8131868131868132,0.825
330,726,7,125.0,451913,4586158,1,0.275,,,2.2545454545454544,0.6199999999999999
331,223,6,5.0,673812,3540215,1,0.315,,,1.7936507936507937,0.565
332,223,6,7.1,673812,3540215,1,0.385,,,1.922077922077922,0.74
333,223,6,10.2,673812,3540215,1,0.315,,,1.8571428571428572,0.585
338,223,6,61.0,673812,3540215,1,0.3,,,1.6833333333333333,0.505
340,223,6,125.0,673812,3540215,1,0.38,,,1.7236842105263157,0.655
343,816,3,10.2,722477,833558,1,0.345,,,1.855072463768116,0.64
346,816,3,29.9,722477,833558,1,0.355,,,1.9295774647887325,0.685
349,816,3,87.4,722477,833558,1,0.32,,,1.890625,0.605
351,455,7,5.0,156535,1498820,1,0.315,,,1.7936507936507937,0.565
354,455,7,14.6,156535,1498820,1,0.175,,,1.6,0.28
356,455,7,29.9,156535,1498820,1,0.475,,,1.7473684210526317,0.83
357,455,7,42.7,156535,1498820,1,0.21,,,1.5,0.315
358,455,7,61.0,156535,1498820,1,0.29,,,1.9827586206896552,0.575
359,455,7,87.4,156535,1498820,1,0.46,,,1.9130434782608696,0.88
361,590,8,5.0,995472,2540501,1,0.42,,,1.9047619047619047,0.8
365,590,8,20.9,995472,2540501,1,0.495,,,1.8282828282828283,0.905
366,590,8,29.9,995472,2540501,1,0.375,,,1.9333333333333333,0.725
369,590,8,87.4,995472,2540501,1,0.25,,,2.02,0.505
371,552,7,5.0,569635,5077854,1,0.48,,,2.0104166666666665,0.965
376,552,7,29.9,569635,5077854,1,0.425,,,1.964705882352941,0.835
381,63,2,5.0,229143,3154915,1,0.38,,,1.6578947368421053,0.63
386,63,2,29.9,229143,3154915,1,0.29,,,1.603448275862069,0.465
387,63,2,42.7,229143,3154915,1,0.305,,,1.4426229508196722,0.44
391,219,5,5.0,535070,6788045,1,0.29,,,1.9137931034482758,0.555
398,219,5,61.0,535070,6788045,1,0.34,,,1.9264705882352942,0.655
399,219,5,87.4,535070,6788045,1,0.445,,,1.9887640449438202,0.885
402,50,3,7.1,370910,2614782,1,0.3,,,1.6666666666666667,0.5
403,50,3,10.2,370910,2614782,1,0.255,,,1.7450980392156863,0.445
406,50,3,29.9,370910,2614782,1,0.345,,,1.6956521739130435,0.585
409,50,3,87.4,370910,2614782,1,0.395,,,1.7088607594936709,0.675
412,903,4,7.1,887509,2560879,1,0.185,,,1.6216216216216217,0.3
413,903,4,10.2,887509,2560879,1,0.495,,,1.8585858585858586,0.92
416,903,4,29.9,887509,2560879,1,0.42,,,1.9642857142857142,0.825
417,903,4,42.7,887509,2560879,1,0.545,,,1.6972477064220184,0.925
420,903,4,125.0,887509,2560879,1,0.335,,,1.9104477611940298,0.64
421,811,5,5.0,353499,6626861,1,0.22,,,1.4772727272727273,0.325
422,811,5,7.1,353499,6626861,1,0.145,,,1.6206896551724137,0.235
424,811,5,14.6,353499,6626861,1,0.345,,,1.8405797101449275,0.635
425,811,5,20.9,353499,6626861,1,0.23,,,1.7608695652173914,0.405
431,392,6,5.0,69564,6474543,1,0.37,,,1.9054054054054055,0.705
434,392,6,14.6,69564,6474543,1,0.49,,,1.7551020408163265,0.86
439,392,6,87.4,69564,6474543,1,0.3,,,1.6166666666666667,0.485
440,392,6,125.0,69564,6474543,1,0.245,,,1.9795918367346939,0.485
443,225,6,10.2,769787,2985363,1,0.29,,,1.8620689655172413,0.54
444,225,6,14.6,769787,2985363,1,0.37,,,1.8108108108108107,0.67
445,225,6,20.9,769787,2985363,1,0.215,,,1.8604651162790697,0.4
446,225,6,29.9,769787,2985363,1,0.205,,,1.5121951219512195,0.31
447,225,6,42.7,769787,2985363,1,0.455,,,1.945054945054945,0.885
448,225,6,61.0,769787,2985363,1,0.215,,,1.7906976744186047,0.385
449,225,6,87.4,769787,2985363,1,0.265,,,2.0,0.53
452,892,5,7.1,962418,3117110,1,0.4,,,1.75,0.7
453,892,5,10.2,962418,3117110,1,0.45,,,1.8777777777777778,0.845
456,892,5,29.9,962418,3117110,1,0.34,,,1.8088235294117647,0.615
457,892,5,42.7,962418,3117110,1,0.29,,,1.9137931034482758,0.555
458,892,5,61.0,962418,3117110,1,0.21,,,1.6904761904761905,0.355
459,892,5,87.4,962418,3117110,1,0.285,,,1.6842105263157894,0.48
462,677,6,7.1,632782,5635856,1,0.265,,,1.7924528301886793,0.475
466,677,6,29.9,632782,5635856,1,0.385,,,1.6493506493506493,0.635
469,677,6,87.4,632782,5635856,1,0.195,,,1.794871794871795,0.35
470,677,6,125.0,632782,5635856,1,0.325,,,1.9230769230769231,0.625
472,277,5,7.1,1173981,6918455,1,0.285,,,1.5964912280701755,0.455
473,277,5,10.2,1173981,6918455,1,0.26,,,1.7307692307692308,0.45
474,277,5,14.6,1173981,6918455,1,0.185,,,1.7297297297297298,0.32
475,277,5,20.9,1173981,6918455,1,0.42,,,1.9404761904761905,0.815
476,277,5,29.9,1173981,6918455,1,0.305,,,1.9344262295081966,0.59
477,277,5,42.7,1173981,6918455,1,0.19,,,1.8421052631578947,0.35
482,41,7,7.1,1151602,7388167,1,0.365,,,1.9452054794520548,0.71
483,41,7,10.2,1151602,7388167,1,0.325,,,1.8461538461538463,0.6
485,41,7,20.9,1151602,7388167,1,0.255,,,1.5098039215686274,0.385
486,41,7,29.9,1151602,7388167,1,0.23,,,1.7173913043478262,0.395
488,41,7,61.0,1151602,7388167,1,0.425,,,1.9294117647058824,0.82
489,41,7,87.4,1151602,7388167,1,0.26,,,1.75,0.455
492,26,4,7.1,786242,338431,1,0.23,,,2.0434782608695654,0.4700000000000001
493,26,4,10.2,786242,338431,1,0.495,,,1.8484848484848484,0.915
498,26,4,61.0,786242,338431,1,0.5,,,2.04,1.02
500,26,4,125.0,786242,338431,1,0.295,,,1.7966101694915255,0.53
501,636,4,5.0,983429,1947501,1,0.485,,,1.8144329896907216,0.88
503,636,4,10.2,983429,1947501,1,0.245,,,1.7142857142857142,0.42
504,636,4,14.6,983429,1947501,1,0.2,,,1.55,0.31
505,636,4,20.9,983429,1947501,1,0.255,,,1.4901960784313726,0.38
506,636,4,29.9,983429,1947501,1,0.51,,,1.8529411764705883,0.945
508,636,4,61.0,983429,1947501,1,0.405,,,1.6419753086419753,0.665
510,636,4,125.0,983429,1947501,1,0.2,,,1.975,0.395
511,984,8,5.0,116439,5472286,1,0.295,,,1.7966101694915255,0.53
514,984,8,14.6,116439,5472286,1,0.205,,,1.7560975609756098,0.36
516,984,8,29.9,116439,5472286,1,0.415,,,1.7590361445783131,0.73
517,984,8,42.7,116439,5472286,1,0.2,,,1.75,0.35
518,984,8,61.0,116439,5472286,1,0.155,,,1.5483870967741935,0.24
519,984,8,87.4,116439,5472286,1,0.455,,,1.7912087912087913,0.815
521,404,8,5.0,261804,2429479,1,0.315,,,1.7936507936507937,0.565
522,404,8,7.1,261804,2429479,1,0.205,,,1.7073170731707317,0.35
523,404,8,10.2,261804,2429479,1,0.4,,,1.675,0.67
525,404,8,20.9,261804,2429479,1,0.395,,,1.8860759493670887,0.745
