system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1947,491,6,42.7,927779,6224225,1,0.34,,,1.9210526315789473,0.365,2.014705882352941,,,0.685
1955,580,6,20.9,167827,3249308,1,0.65,,,2.039473684210526,0.7749999999999999,2.0,,,1.3
1956,580,6,29.9,167827,3249308,1,0.33,,,1.8611111111111112,0.335,2.0,,,0.66
1957,580,6,42.7,167827,3249308,1,0.5,,,2.169491525423729,0.64,2.0,,,1.0
1959,580,6,87.4,167827,3249308,1,0.58,,,1.9538461538461538,0.635,2.0,,,1.16
1965,88,4,20.9,465040,1419318,1,0.325,,,1.675,0.335,2.0153846153846153,,,0.655
1966,88,4,29.9,465040,1419318,1,0.385,,,1.9387755102040816,0.475,2.0,,,0.77
1967,88,4,42.7,465040,1419318,1,0.48,,,1.9464285714285714,0.545,2.0,,,0.96
1969,88,4,87.4,465040,1419318,1,0.495,,,1.8387096774193548,0.57,2.01010101010101,,,0.9949999999999999
1971,482,5,5.0,336668,3768166,1,0.605,,,1.9295774647887325,0.685,2.0082644628099175,,,1.215
1972,482,5,7.1,336668,3768166,1,0.47,,,2.0,0.51,2.0,,,0.94
1973,482,5,10.2,336668,3768166,1,0.465,,,2.017543859649123,0.575,2.0,,,0.93
1974,482,5,14.6,336668,3768166,1,0.49,,,1.7735849056603774,0.47,2.0,,,0.98
1975,482,5,20.9,336668,3768166,1,0.65,,,1.96,0.735,2.0,,,1.3
1976,482,5,29.9,336668,3768166,1,0.255,,,1.9428571428571428,0.34,2.0,,,0.51
1983,682,2,10.2,148856,5776151,1,0.725,,,14.465277777777779,10.415,2.103448275862069,,,1.525
1985,682,2,20.9,148856,5776151,1,0.695,,,5.172043010752688,2.405,2.115107913669065,,,1.47
1987,682,2,42.7,148856,5776151,1,0.66,,,2.6153846153846154,1.19,2.0833333333333335,,,1.375
1988,682,2,61.0,148856,5776151,1,0.59,,,1.875,0.75,2.042372881355932,,,1.205
1989,682,2,87.4,148856,5776151,1,0.705,,,1.923913043478261,0.885,2.0141843971631204,,,1.42
1993,358,3,10.2,1040225,5729202,1,0.32,,,1.744186046511628,0.375,2.0,,,0.64
1995,358,3,20.9,1040225,5729202,1,0.235,,,1.6896551724137931,0.245,2.0,,,0.47
1997,358,3,42.7,1040225,5729202,1,0.405,,,1.565217391304348,0.36,2.0,,,0.81
1998,358,3,61.0,1040225,5729202,1,0.595,,,1.9682539682539681,0.62,2.0,,,1.19
2001,697,7,5.0,203528,6190154,1,0.38,,,1.9821428571428572,0.555,2.0,,,0.76
2002,697,7,7.1,203528,6190154,1,0.175,,,1.76,0.22,2.0,,,0.35
2006,697,7,29.9,203528,6190154,1,0.47,,,1.8253968253968254,0.575,2.0,,,0.94
2011,418,6,5.0,1182806,753016,1,0.365,,,1.9736842105263157,0.375,2.0,,,0.73
2016,418,6,29.9,1182806,753016,1,0.46,,,2.2291666666666665,0.535,2.0,,,0.92
2017,418,6,42.7,1182806,753016,1,0.45,,,1.9827586206896552,0.575,2.011111111111111,,,0.905
2018,418,6,61.0,1182806,753016,1,0.31,,,1.7391304347826086,0.4,2.0161290322580645,,,0.625
2019,418,6,87.4,1182806,753016,1,0.625,,,1.8428571428571427,0.645,2.0,,,1.25
2020,418,6,125.0,1182806,753016,1,0.41,,,1.9375,0.465,2.0,,,0.82
2023,833,2,10.2,833179,1221269,1,0.415,,,1.4912280701754386,0.425,2.0,,,0.83
2026,833,2,29.9,833179,1221269,1,0.395,,,1.471698113207547,0.39,2.0,,,0.79
2027,833,2,42.7,833179,1221269,1,0.705,,,1.5797101449275361,0.545,2.0141843971631204,,,1.42
2032,601,6,7.1,492078,4305921,1,0.48,,,2.08,0.52,2.0,,,0.96
2034,601,6,14.6,492078,4305921,1,0.6,,,1.8783783783783783,0.695,2.0,,,1.2
2035,601,6,20.9,492078,4305921,1,0.515,,,2.087719298245614,0.595,2.0,,,1.03
2038,601,6,61.0,492078,4305921,1,0.515,,,1.9622641509433962,0.52,2.0,,,1.03
2040,601,6,125.0,492078,4305921,1,0.525,,,2.013888888888889,0.725,2.0,,,1.05
2041,632,3,5.0,781390,2024723,1,0.34,,,1.711111111111111,0.385,2.0,,,0.68
2042,632,3,7.1,781390,2024723,1,0.35,,,1.7959183673469388,0.44,2.0,,,0.7
2043,632,3,10.2,781390,2024723,1,0.57,,,1.6666666666666667,0.575,2.0,,,1.14
2044,632,3,14.6,781390,2024723,1,0.31,,,1.7906976744186047,0.385,2.0,,,0.62
2046,632,3,29.9,781390,2024723,1,0.58,,,1.8142857142857143,0.635,2.0,,,1.16
2048,632,3,61.0,781390,2024723,1,0.25,,,1.8181818181818181,0.3,2.0,,,0.5
2049,632,3,87.4,781390,2024723,1,0.635,,,1.8082191780821917,0.66,2.015748031496063,,,1.28
2050,632,3,125.0,781390,2024723,1,0.665,,,2.0121951219512195,0.825,2.007518796992481,,,1.335
2052,436,8,7.1,378199,984646,1,0.575,,,1.967741935483871,0.61,2.0,,,1.15
2053,436,8,10.2,378199,984646,1,0.475,,,1.5555555555555556,0.49,2.0,,,0.95
2054,436,8,14.6,378199,984646,1,0.495,,,1.7413793103448276,0.505,2.0,,,0.99
2055,436,8,20.9,378199,984646,1,0.45,,,1.7777777777777777,0.48,2.0,,,0.9
2057,436,8,42.7,378199,984646,1,0.26,,,1.875,0.3,2.0,,,0.52
2059,436,8,87.4,378199,984646,1,0.375,,,1.9,0.475,2.0,,,0.75
2060,436,8,125.0,378199,984646,1,0.35,,,1.84,0.46,2.0,,,0.7
2061,790,7,5.0,78612,2654643,1,0.63,,,1.8395061728395061,0.745,2.007936507936508,,,1.265
2062,790,7,7.1,78612,2654643,1,0.56,,,1.736842105263158,0.66,2.0,,,1.12
2063,790,7,10.2,78612,2654643,1,0.555,,,1.7538461538461538,0.57,2.009009009009009,,,1.115
2064,790,7,14.6,78612,2654643,1,0.665,,,1.7865168539325842,0.795,2.0,,,1.33
2066,790,7,29.9,78612,2654643,1,0.585,,,1.957142857142857,0.685,2.0,,,1.17
2067,790,7,42.7,78612,2654643,1,0.54,,,1.896551724137931,0.55,2.0,,,1.08
2068,790,7,61.0,78612,2654643,1,0.27,,,1.8666666666666667,0.28,2.0,,,0.54
2070,790,7,125.0,78612,2654643,1,0.49,,,1.7592592592592593,0.475,2.0,,,0.98
2081,512,4,5.0,687763,6345894,1,0.55,,,1.9242424242424243,0.635,2.0,,,1.1
2082,512,4,7.1,687763,6345894,1,0.63,,,2.0,0.73,2.0,,,1.26
2083,512,4,10.2,687763,6345894,1,0.285,,,1.6578947368421053,0.315,2.0,,,0.57
2085,512,4,20.9,687763,6345894,1,0.645,,,2.111111111111111,0.76,2.007751937984496,,,1.295
2089,512,4,87.4,687763,6345894,1,0.545,,,1.8507462686567164,0.62,2.0,,,1.09
2090,512,4,125.0,687763,6345894,1,0.685,,,1.9680851063829787,0.925,2.0,,,1.37
2093,454,4,10.2,326607,1373017,1,0.68,,,2.0114942528735633,0.875,2.0073529411764706,,,1.365
