system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1474,846,5,14.6,502650,6597787,2,0.4375,,,1.9444444444444444,0.525,2.0,,,0.875
1475,846,5,20.9,502650,6597787,6,0.5058333333333334,0.35166666666666674,0.60253125,1.9579831932773109,0.5825,2.0065897858319603,2.002732938749888,2.0142343836373686,1.015
1476,846,5,29.9,502650,6597787,2,0.41000000000000003,,,1.9519230769230769,0.5075,2.0060975609756095,,,0.8225
1477,846,5,42.7,502650,6597787,10,0.3994999999999999,0.3339910714285714,0.48534062499999997,1.860323886639676,0.4595,2.0075093867334166,2.0,2.0176339285714286,0.802
1478,846,5,61.0,502650,6597787,4,0.44875,,,1.9056603773584906,0.505,2.0,,,0.8975
1479,846,5,87.4,502650,6597787,4,0.4475,,,1.9490740740740742,0.52625,2.005586592178771,,,0.8975
1480,846,5,125.0,502650,6597787,3,0.45999999999999996,,,1.87012987012987,0.48,2.010869565217391,,,0.925
1481,501,2,5.0,660148,597832,4,0.66625,,,1.6292834890965733,0.65375,2.0150093808630394,,,1.3425
1482,501,2,7.1,660148,597832,4,0.58375,,,1.5445544554455446,0.585,2.0107066381156318,,,1.17375
1483,501,2,10.2,660148,597832,4,0.56875,,,1.5070422535211268,0.535,2.002197802197802,,,1.13875
1484,501,2,14.6,660148,597832,4,0.6312500000000001,,,1.6700680272108843,0.61375,2.0,,,1.2625
1485,501,2,20.9,660148,597832,4,0.6074999999999999,,,1.6654804270462633,0.585,2.0,,,1.215
1486,501,2,29.9,660148,597832,4,0.5487500000000001,0.435,0.6333333333333334,1.6962962962962962,0.5725,2.002277904328018,2.0,2.004901960784314,1.09875
1487,501,2,42.7,660148,597832,4,0.5650000000000001,,,1.6363636363636365,0.54,2.0,,,1.13
1488,501,2,61.0,660148,597832,4,0.585,,,1.5724637681159421,0.5425,2.0,,,1.17
1489,501,2,87.4,660148,597832,4,0.53125,,,1.663716814159292,0.47,2.0,,,1.0625
1490,501,2,125.0,660148,597832,4,0.725,,,1.6877076411960132,0.635,2.0,,,1.45
1491,408,6,5.0,744358,2087706,8,0.4625,0.353,0.5758630952380953,1.7755555555555556,0.499375,2.0094594594594595,2.0026238469191844,2.017036330094671,0.929375
1492,408,6,7.1,744358,2087706,5,0.5229999999999999,,,1.9834983498349834,0.601,2.0038240917782026,,,1.048
1493,408,6,10.2,744358,2087706,5,0.509,,,1.9090909090909092,0.567,2.0039292730844793,,,1.02
1494,408,6,14.6,744358,2087706,4,0.36,0.275,0.515,1.8950276243093922,0.42875,2.0104166666666665,2.0,2.018181818181818,0.72375
1495,408,6,20.9,744358,2087706,1,0.36,,,1.9722222222222223,0.355,2.0,,,0.72
1496,408,6,29.9,744358,2087706,1,0.44,,,1.9137931034482758,0.555,2.0,,,0.88
1497,408,6,42.7,744358,2087706,2,0.445,,,1.7964601769911503,0.5075,2.00561797752809,,,0.8925
1498,408,6,61.0,744358,2087706,3,0.5483333333333333,,,1.903061224489796,0.6216666666666667,2.0091185410334345,,,1.1016666666666666
1499,408,6,87.4,744358,2087706,5,0.48100000000000004,,,1.9491525423728813,0.575,2.006237006237006,,,0.965
1500,408,6,125.0,744358,2087706,3,0.49833333333333335,,,1.7590361445783131,0.4866666666666667,2.0,,,0.9966666666666667
1501,372,4,5.0,839325,3193563,5,0.499,0.325,0.6350625,1.8178807947019868,0.549,2.002004008016032,2.0,2.0044444444444443,0.999
1502,372,4,7.1,839325,3193563,3,0.4066666666666667,,,1.7142857142857142,0.44,2.0081967213114753,,,0.8166666666666667
1503,372,4,10.2,839325,3193563,1,0.29,,,1.8285714285714285,0.32,2.0,,,0.58
1504,372,4,14.6,839325,3193563,7,0.4264285714285715,0.31251488095238095,0.5237991071428572,1.8767123287671232,0.48928571428571427,2.0016750418760467,2.0,2.0056179775280896,0.8535714285714285
1505,372,4,20.9,839325,3193563,2,0.5225,,,1.786764705882353,0.6075,2.0047846889952154,,,1.0475
1506,372,4,29.9,839325,3193563,3,0.58,,,1.8146341463414635,0.62,2.0086206896551726,,,1.165
1507,372,4,42.7,839325,3193563,5,0.5149999999999999,0.38178333333333336,0.602609375,2.0,0.624,2.0058252427184464,2.0,2.0121819874220357,1.033
1508,372,4,61.0,839325,3193563,10,0.4385,0.38999999999999996,0.48101346153846153,1.833976833976834,0.475,2.0034207525655643,2.0,2.0067012861781652,0.8785
1509,372,4,87.4,839325,3193563,3,0.44333333333333336,,,1.86875,0.49833333333333335,2.0,,,0.8866666666666667
1510,372,4,125.0,839325,3193563,3,0.57,,,1.9533678756476685,0.6283333333333333,2.002923976608187,,,1.1416666666666666
1511,346,7,5.0,100369,480736,3,0.5299999999999999,,,1.9748743718592965,0.655,2.0,,,1.06
1512,346,7,7.1,100369,480736,8,0.4781249999999999,0.40374375,0.5622611607142857,1.8438818565400843,0.54625,2.0013071895424837,2.0,2.005366666666667,0.956875
1513,346,7,10.2,100369,480736,6,0.45416666666666666,0.341,0.5575625,1.879746835443038,0.495,2.0,2.0,2.0,0.9083333333333333
