config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
110014,0.39,1.9487179487179487,0.33263185425685426,0.0059085588023088,200,78,1101,199,6,5.0,330337,6019297,14,selfish,0.4312459512484686,0.5424263205795637
110115,0.24,1.875,0.18009126984126983,0.005352739898989897,200,48,1102,199,6,7.1,330337,6019297,15,selfish,0.28091147618982,0.9551352008768642
110261,0.26,1.7884615384615385,0.19036111111111112,0.005184441391941392,200,52,1103,199,6,10.2,330337,6019297,61,selfish,0.3070497535774244,0.9179940122389904
108958,0.265,2.0377358490566038,0.21665873015873008,0.00449698593073593,200,53,1090,776,4,125.0,356555,4899302,58,selfish,0.3409275648695138,0.932574439505853
110336,0.29,1.793103448275862,0.2515979437229437,0.004804035547785549,200,58,1104,199,6,14.6,330337,6019297,36,selfish,0.3461077870164497,0.600169191961039
110511,0.25,1.72,0.21455555555555553,0.005249325396825396,200,50,1106,199,6,29.9,330337,6019297,11,selfish,0.3777435584279705,0.3053722478730439
110802,0.21,1.6904761904761905,0.17068253968253969,0.004704895243645241,200,42,1109,199,6,87.4,330337,6019297,2,selfish,0.2959114945914544,0.9228509849216918
110942,0.235,1.8936170212765957,0.1731563505938506,0.0041808017880812,200,47,1110,199,6,125.0,330337,6019297,42,selfish,0.2544637386172081,0.3417299389831262
112002,0.2,1.675,0.14941666666666667,0.005932305194805193,200,40,1121,297,4,5.0,510042,7802290,2,selfish,0.2959114945914544,0.9228509849216918
112106,0.405,1.7901234567901234,0.37485714285714294,0.006411096681096681,200,81,1122,297,4,7.1,510042,7802290,6,selfish,0.4911132375299709,0.252577974178488
111760,0.215,1.8837209302325582,0.16274500499500497,0.004395523920523919,200,43,1118,569,6,61.0,132204,7633868,60,selfish,0.2892063661005389,0.2123889347471068
111188,0.425,1.8470588235294119,0.37562499999999993,0.007881309523809523,200,85,1112,569,6,7.1,132204,7633868,88,selfish,0.4229568538429628,0.8766829270547112
111955,0.26,1.6923076923076923,0.2075128066378066,0.0047970302818096935,200,52,1120,569,6,125.0,132204,7633868,55,selfish,0.3277016708096898,0.5663965080474668
112214,0.325,1.8153846153846154,0.3161130952380953,0.005932361111111105,200,65,1123,297,4,10.2,510042,7802290,14,selfish,0.4312459512484686,0.5424263205795637
112469,0.185,1.7297297297297298,0.11737763625263624,0.003898239304555093,200,37,1125,297,4,20.9,510042,7802290,69,selfish,0.2070972729458678,0.2979198700199214
112601,0.26,1.75,0.2337559523809524,0.004755572344322347,200,52,1127,297,4,42.7,510042,7802290,1,selfish,0.3857676334163057,0.2047082508361712
112839,0.405,1.7654320987654322,0.3738769841269841,0.005225238095238092,200,81,1129,297,4,87.4,510042,7802290,39,selfish,0.4790241755215713,0.6177321915239017
113040,0.2,1.75,0.1487896825396825,0.005375731074481072,200,40,1131,236,3,5.0,233308,2755253,40,selfish,0.2501126952506121,0.6454895199876196
113502,0.285,1.8771929824561404,0.21221049783549786,0.004778968808968807,200,57,1136,236,3,29.9,233308,2755253,2,selfish,0.2959114945914544,0.9228509849216918
113637,0.405,1.7407407407407407,0.376,0.0060785515873015864,200,81,1137,236,3,42.7,233308,2755253,37,selfish,0.469568977189866,0.9743873423433428
113702,0.29,2.0517241379310347,0.2230180375180375,0.004457225829725829,200,58,1138,236,3,61.0,233308,2755253,2,selfish,0.2959114945914544,0.9228509849216918
113984,0.35,1.9,0.31997329059829055,0.005412970085470084,200,70,1140,236,3,125.0,233308,2755253,84,selfish,0.4277086989642705,0.7484720574557526
114147,0.275,2.1272727272727274,0.25746374458874455,0.005590836940836941,200,55,1142,693,6,7.1,313310,3455741,47,selfish,0.4071129309119736,0.103198652756049
114268,0.295,1.9322033898305084,0.26977777777777784,0.005151807359307358,200,59,1143,693,6,10.2,313310,3455741,68,selfish,0.3706046305857265,0.4761663270697934
114488,0.31,1.8387096774193548,0.2801607142857144,0.005386130952380951,200,62,1145,693,6,20.9,313310,3455741,88,selfish,0.4229568538429628,0.8766829270547112
114762,0.235,1.9574468085106382,0.20588095238095236,0.004720195360195361,200,47,1148,693,6,61.0,313310,3455741,62,selfish,0.3350709844137344,0.6247506884808997
115179,0.355,1.5352112676056338,0.3168630952380954,0.005627539682539681,200,71,1152,669,2,7.1,923356,530268,79,selfish,0.3642632456563252,0.6890479996878222
115317,0.415,1.6506024096385543,0.35469642857142863,0.005774047619047616,200,83,1154,669,2,14.6,923356,530268,17,selfish,0.4372556438030128,0.9067257327686692
115577,0.29,1.7241379310344827,0.1978183275058275,0.004252984420550209,200,58,1156,669,2,29.9,923356,530268,77,selfish,0.2375482709814891,0.0892183280233827
11532,0.415,1.9879518072289157,0.3462380952380951,0.004710436507936508,200,83,116,642,5,29.9,1074544,2702765,32,selfish,0.4495856593533723,0.6338235473212548
116185,0.425,1.8705882352941177,0.3679345238095238,0.007990714285714275,200,85,1162,448,3,7.1,111694,7118183,85,selfish,0.4024582743628092,0.7244830604083918
116891,0.26,1.8846153846153846,0.21432936507936506,0.0057147817460317454,200,52,1169,448,3,87.4,111694,7118183,91,selfish,0.3969614753991711,0.3291381696463736
117002,0.28,1.75,0.2050459956709957,0.004581237373737373,200,56,1171,267,3,5.0,727643,6078227,2,selfish,0.2959114945914544,0.9228509849216918
117360,0.27,1.7592592592592593,0.19353589466089463,0.004600395923520923,200,54,1174,267,3,14.6,727643,6078227,60,selfish,0.2892063661005389,0.2123889347471068
117238,0.255,1.6666666666666667,0.22675595238095245,0.0054678625541125505,200,51,1173,267,3,10.2,727643,6078227,38,selfish,0.3509947337216052,0.8424701912520188
116955,0.27,1.7222222222222223,0.2214704184704185,0.005219968087468088,200,54,1170,448,3,125.0,111694,7118183,55,selfish,0.3277016708096898,0.5663965080474668
117496,0.41,1.8658536585365855,0.3808650793650794,0.00524547619047619,200,82,1175,267,3,20.9,727643,6078227,96,selfish,0.4626922801013836,0.4528896718855326
117814,0.31,1.8870967741935485,0.28846969696969693,0.005183134226884224,200,62,1179,267,3,87.4,727643,6078227,14,selfish,0.4312459512484686,0.5424263205795637
117663,0.355,1.9014084507042253,0.3265218253968254,0.0054464880952380945,200,71,1177,267,3,42.7,727643,6078227,63,selfish,0.4714045721788255,0.7667985672256883
117550,0.245,1.836734693877551,0.19649999999999998,0.004837740453990453,200,49,1176,267,3,29.9,727643,6078227,50,selfish,0.3349244931377773,0.5073741801149648
118772,0.25,1.92,0.18168055555555554,0.00462484126984127,200,50,1188,928,4,61.0,604298,3884319,72,selfish,0.3156406422303758,0.3774553900605352
119178,0.295,2.0,0.2376904761904762,0.005212222222222224,200,59,1192,766,7,7.1,798663,7949417,78,selfish,0.3815618301396259,0.7050527606912402
119232,0.425,2.0470588235294116,0.3767862554112556,0.005157462121212121,200,85,1193,766,7,10.2,798663,7949417,32,selfish,0.4495856593533723,0.6338235473212548
119047,0.315,1.9841269841269842,0.279609126984127,0.005447797619047616,200,63,1191,766,7,5.0,798663,7949417,47,selfish,0.4071129309119736,0.103198652756049
119380,0.255,1.7647058823529411,0.18817352092352088,0.004752419733044733,200,51,1194,766,7,14.6,798663,7949417,80,selfish,0.2816906079992455,0.4111680330999803
119513,0.185,1.7297297297297298,0.12714212614870507,0.003983538727354518,200,37,1196,766,7,29.9,798663,7949417,13,selfish,0.2238256630629619,0.7912632295125752
119479,0.275,2.0,0.25369642857142854,0.0048476785714285705,200,55,1195,766,7,20.9,798663,7949417,79,selfish,0.3642632456563252,0.6890479996878222
120030,0.185,1.3513513513513513,0.11111165223665222,0.006126587301587302,200,37,1201,86,2,5.0,300907,2913285,30,selfish,0.2039812783100412,0.857228363045134
120256,0.45,1.6222222222222222,0.39909523809523817,0.006568690476190472,200,90,1203,86,2,10.2,300907,2913285,56,selfish,0.4768512858671266,0.1447302436856452
119696,0.385,1.8571428571428572,0.36427976190476186,0.005332658730158729,200,77,1197,766,7,42.7,798663,7949417,96,selfish,0.4626922801013836,0.4528896718855326
120604,0.325,1.4307692307692308,0.24444047619047615,0.005045367063492063,200,65,1207,86,2,42.7,300907,2913285,4,selfish,0.2627648343443758,0.7190241322679278
120332,0.395,1.6708860759493671,0.36523214285714284,0.006421249999999998,200,79,1204,86,2,14.6,300907,2913285,32,selfish,0.4495856593533723,0.6338235473212548
120467,0.315,1.6031746031746033,0.2928928571428571,0.005934424603174603,200,63,1205,86,2,20.9,300907,2913285,67,selfish,0.3604525200861999,0.8954386061007626
120789,0.295,1.4406779661016949,0.19108364704610836,0.004333473873907311,200,59,1208,86,2,61.0,300907,2913285,89,selfish,0.2129379249701362,0.6944582199785999
120815,0.33,1.621212121212121,0.2259092248331379,0.004452037937907504,200,66,1209,86,2,87.4,300907,2913285,15,selfish,0.28091147618982,0.9551352008768642
120936,0.33,1.7727272727272727,0.2956791125541126,0.0051209992784992785,200,66,1210,86,2,125.0,300907,2913285,36,selfish,0.3461077870164497,0.600169191961039
