strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
lead_stubborn,214370,214371,264,6,14.6,0.3239323376009491,vcD3/deg6/bw14.6/hpQ3
lead_stubborn,80082,80083,836,8,5.0,0.2028601193675408,vcD9/deg8/bw5.0/hpQ1
lead_stubborn,264,265,195,2,10.2,0.3439678088500045,vcD2/deg2/bw10.2/hpQ3
lead_stubborn,135522,135523,242,7,29.9,0.3494898166749496,vcD3/deg7/bw29.9/hpQ3
lead_stubborn,52088,52089,404,8,5.0,0.2129379249701362,vcD4/deg8/bw5.0/hpQ1
lead_stubborn,126961,126962,671,6,125.0,0.3350709844137344,vcD7/deg6/bw125.0/hpQ3
lead_stubborn,78568,78569,594,4,29.9,0.2070972729458678,vcD6/deg4/bw29.9/hpQ1
lead_stubborn,54787,54788,749,5,61.0,0.4229568538429628,vcD8/deg5/bw61.0/hpQ4
lead_stubborn,155653,155654,985,8,42.7,0.3585232711576509,vcD10/deg8/bw42.7/hpQ3
lead_stubborn,89711,89712,396,7,61.0,0.3985108847427614,vcD4/deg7/bw61.0/hpQ4
lead_stubborn,248647,248648,306,6,42.7,0.2114807290736435,vcD3/deg6/bw42.7/hpQ1
lead_stubborn,177408,177409,147,5,20.9,0.2331676534838964,vcD2/deg5/bw20.9/hpQ1
lead_stubborn,14924,14925,618,4,125.0,0.454095890072901,vcD7/deg4/bw125.0/hpQ5
lead_stubborn,193728,193729,178,4,61.0,0.2901917465581629,vcD2/deg4/bw61.0/hpQ2
lead_stubborn,197261,197262,482,5,10.2,0.3350709844137344,vcD5/deg5/bw10.2/hpQ3
lead_stubborn,103132,103133,429,4,7.1,0.2594311744995365,vcD5/deg4/bw7.1/hpQ1
lead_stubborn,207985,207986,319,6,125.0,0.4461023732799478,vcD4/deg6/bw125.0/hpQ5
lead_stubborn,154280,154281,611,3,10.2,0.2269416996374781,vcD7/deg3/bw10.2/hpQ1
lead_stubborn,22566,22567,808,7,29.9,0.3604525200861999,vcD9/deg7/bw29.9/hpQ3
lead_stubborn,9241,9242,963,5,10.2,0.2544637386172081,vcD10/deg5/bw10.2/hpQ1
lead_stubborn,215841,215842,332,6,87.4,0.2544637386172081,vcD4/deg6/bw87.4/hpQ1
lead_stubborn,197849,197850,482,5,87.4,0.3349244931377773,vcD5/deg5/bw87.4/hpQ3
lead_stubborn,60746,60747,879,5,61.0,0.4071129309119736,vcD9/deg5/bw61.0/hpQ4
lead_stubborn,83191,83192,782,2,7.1,0.3544902343139808,vcD8/deg2/bw7.1/hpQ3
lead_stubborn,84411,84412,948,6,20.9,0.3985108847427614,vcD10/deg6/bw20.9/hpQ4
lead_stubborn,41742,41743,903,4,61.0,0.3733963553970497,vcD10/deg4/bw61.0/hpQ3
lead_stubborn,98428,98429,990,3,20.9,0.2901917465581629,vcD10/deg3/bw20.9/hpQ2
lead_stubborn,30174,30175,336,6,7.1,0.2525545317138812,vcD4/deg6/bw7.1/hpQ1
lead_stubborn,36232,36233,590,8,10.2,0.2594311744995365,vcD6/deg8/bw10.2/hpQ1
lead_stubborn,47521,47522,277,5,29.9,0.24260325729568,vcD3/deg5/bw29.9/hpQ1
lead_stubborn,67579,67580,655,4,29.9,0.2816906079992455,vcD7/deg4/bw29.9/hpQ2
lead_stubborn,149088,149089,408,6,5.0,0.2129379249701362,vcD4/deg6/bw5.0/hpQ1
lead_stubborn,235200,235201,812,2,10.2,0.3857676334163057,vcD9/deg2/bw10.2/hpQ4
