system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
1446,723,2,29.9,916560,6727167,4,0.4525,,,1.5657894736842106,0.44625,2.0386740331491713,,,0.9225
1447,723,2,42.7,916560,6727167,3,0.5583333333333333,,,1.5315315315315314,0.5666666666666667,2.026865671641791,,,1.1316666666666666
1448,723,2,61.0,916560,6727167,4,0.54375,,,1.5017182130584192,0.54625,2.0160919540229885,,,1.09625
1449,723,2,87.4,916560,6727167,4,0.6725,,,1.6656891495601174,0.71,2.020446096654275,,,1.35875
1450,723,2,125.0,916560,6727167,6,0.62,0.539875,0.71,1.5720164609053497,0.6366666666666667,2.0094086021505375,2.0,2.0208269913749364,1.2458333333333333
1451,315,7,5.0,1015407,4833322,2,0.3825,,,1.6759259259259258,0.4525,2.0065359477124183,,,0.7675
1452,315,7,7.1,1015407,4833322,3,0.4000000000000001,,,1.5868263473053892,0.44166666666666665,2.0,,,0.8
1453,315,7,10.2,1015407,4833322,2,0.505,,,1.8264462809917354,0.5525,2.0,,,1.01
1454,315,7,14.6,1015407,4833322,5,0.453,,,1.7938144329896908,0.522,2.0,,,0.906
1455,315,7,20.9,1015407,4833322,9,0.44166666666666665,0.38364880952380953,0.509175,1.8183520599250935,0.5394444444444444,2.0012578616352203,2.0,2.003980654761905,0.8838888888888888
1456,315,7,29.9,1015407,4833322,2,0.4125,,,1.8991596638655461,0.565,2.006060606060606,,,0.8275
1457,315,7,42.7,1015407,4833322,4,0.46,,,1.8416988416988418,0.59625,2.0,,,0.92
1458,315,7,61.0,1015407,4833322,3,0.45166666666666666,,,1.8932584269662922,0.5616666666666666,2.0,,,0.9033333333333333
1459,315,7,87.4,1015407,4833322,5,0.449,0.309875,0.615,1.8903225806451613,0.586,2.0,2.0,2.0,0.898
1460,315,7,125.0,1015407,4833322,7,0.4542857142857143,0.38333333333333336,0.5325624999999999,1.7775061124694376,0.5192857142857142,2.0,2.0,2.0,0.9085714285714286
1461,829,7,5.0,391716,4154663,1,0.28,,,1.7692307692307692,0.345,2.0,,,0.56
1462,829,7,7.1,391716,4154663,3,0.3,,,1.696969696969697,0.37333333333333335,2.0055555555555555,,,0.6016666666666667
1463,829,7,10.2,391716,4154663,3,0.5116666666666667,,,1.8681818181818182,0.685,2.003257328990228,,,1.025
1464,829,7,14.6,391716,4154663,2,0.455,,,1.656,0.5175,2.0,,,0.91
1465,829,7,20.9,391716,4154663,5,0.485,,,1.9912790697674418,0.685,2.0103092783505154,,,0.975
1466,829,7,29.9,391716,4154663,3,0.5033333333333333,,,1.8226600985221675,0.6166666666666667,2.0033112582781456,,,1.0083333333333333
1467,829,7,42.7,391716,4154663,2,0.4375,,,1.8879310344827587,0.5475,2.0114285714285716,,,0.88
1468,829,7,61.0,391716,4154663,3,0.47,,,1.8737373737373737,0.6183333333333333,2.00709219858156,,,0.9433333333333334
1469,829,7,87.4,391716,4154663,2,0.41000000000000003,,,1.588235294117647,0.405,2.0,,,0.82
1470,829,7,125.0,391716,4154663,3,0.395,,,1.7901234567901234,0.48333333333333334,2.0084388185654007,,,0.7933333333333333
1471,846,5,5.0,502650,6597787,2,0.535,,,1.8717948717948718,0.73,2.0093457943925235,,,1.075
1472,846,5,7.1,502650,6597787,6,0.5266666666666667,0.38983333333333337,0.6234687500000001,1.8872017353579176,0.725,2.0047468354430378,2.0,2.0091937836903186,1.0558333333333334
1473,846,5,10.2,502650,6597787,2,0.5175000000000001,,,1.8478260869565217,0.6375,2.0,,,1.035
1474,846,5,14.6,502650,6597787,2,0.43,,,1.7024793388429753,0.515,2.005813953488372,,,0.8625
1475,846,5,20.9,502650,6597787,6,0.4841666666666667,0.38823958333333336,0.5712812500000001,1.8126582278481012,0.5966666666666667,2.0034423407917386,2.0,2.0095238095238095,0.97
1476,846,5,29.9,502650,6597787,2,0.375,,,1.6607142857142858,0.465,2.0,,,0.75
